DATE,CUSTOMER ,ADDRESS,QUANTITY ,,RATE,,
,,120 ALDENE RD ROSELLE,1500,STONE,$9.53/TON,,
,,"3200 NJ-37, Toms River, NJ 08753",4000,stone,$11.39/TON,,
,,"201 hamilton st hillsboro, nj",1 load ,sand ew,$10.80/TON,,
,,"8600 river rd Pennsauken, nj ",400 tons ,Crushed,WB CC $4.94/TON,,
,,"2001 Briggs rd mt laurel,nj ",25k,Stone ,$10.61/TON,,
,,"667 Aura Rd, Glassboro, NJ 08028",3200,SAND ,FR $5.68/TON,,
,,"1121 Downingtown Pike
Pennsylvania West Chester",1 load ,stone,$21.13/TON,,
,,"15 progress place jackson, nj",1200,BR CC, $5.11/TON,,
,,107 SUNFIELD AVE EDISON,,ET CC,$4.48/TON,,
,,107 SUNFIELD AVE EDISON,10k TONS,STONE,$8.46/TON,,
,,600 BEN FAIRLESS DR FAIRLESS HILLS PA,240K TONS,STONE,$11.72/TON,,
,,600 BEN FAIRLESS DR FAIRLESS HILLS PA,2K,SAND FR,$16.46/TON,,
,,600 BEN FAIRLESS DR FAIRLESS HILLS PA,,EW SAND,$16.04/TON,,
,,2703 RT 130 NORTH BRUNSWICK,500,STONE,$7.01/TON,,
,,162 WEST KELLY ST METUCHEN,10k TONS,STONE,$7.96/TON,,
,,600 BEN FAIRLESS DR FAIRLESS HILLS PA,8K,CC MV,$4.28/TON,,
,,"600 Delran Parkway Delran, NJ",1000,sand,EW SAND - $12.98/TON,,
,,"600 Delran Parkway Delran, NJ",5000,stone,$11.91/TON,,
,,"600 Delran Parkway Delran, NJ",2000,crushed,SH CC - $6.59/TON,,
,,"Mid Atlantic III, 1700 Rike Drive, Millstone, NJ 08510",500,crushed,ET CC - $3.80/TON,,
,,"2 CRIMSON DR manalapan, nj",2000,STONE,$9.12/TON,,
,,"STEGIEL PL AND MAIN ST sayerville, nj",2000,STONE,$8.99/TON,,
,,"1 CARR AVENEUE keansburg, nj",1000,STONE,$11.27/TON,,
,,"1006 ST GEORGES AVE avenel, nj",500,STONE,$8.80/TON,,
,,772 Eldridges Hill Rd miullica hill nj,600,sand,FR SAND - $7.47 / TON,,
,,"5 shell rd mantoloking, nj",1 load ,sand ew,$8.95/TON,,
,,"2 W Blaire Tract, Lambertville, NJ 08530

",500,sand,EW SAND - $13.85 / TON,,
,,"83 US-22, Green Brook Township, NJ 08812",1000,CRUSHED,ET  CC $9.16/TON,,
,,"701 2nd St, Swedesboro, NJ 08085",50000,Stone ,$15.71/TON,,
,,"701 2nd St, Swedesboro, NJ 08085",15000,sand,$7.26/TON,,
,,"3200 Route 37 in Toms River, NJ.",,Stone ,$11.39/TON,,
,,"2 E Commerce St, Bridgeton, NJ",400,Stone ,$19.25/TON,,
,,110 HERRONTOWN RD PRINCETON,,SAND EW,$10.29/TON,,
,,842 ARNOLD AVE POINT PLEASANT,,Stone ,$11.73/TON,,
,,32 HILLTOP PLACE ROBBINSVILLE,,STONE,$7.96/TON,,
,,3 BREWSTER RD NEWARK,,sand ew ,$14.41/TON,,
,,900 RIDGE RD PRINCETON,,Stone ,$5.87/TON,,
,,652 OLD STAGE RD EAST BRUNSWICK,,Stone ,$7.83/TON,,
,,300 WASHINGTON RD PRINCETON ,,sand ew ,$10.04/TON,,
,,83 RT 22 GREEN BROOK,,Stone ,$6.63/TON,,
,,83 RT 22 GREEN BROOK,,CC ET,$5.94/TON,,
,,379 RT 31 RINGOES,,sand ew ,$10.80/TON,,
,,TRIANGLE RD OVER CARTERS BROOK NEW BRUNSWICK,,Stone ,6.57/TON,,
,,RICHARD RD SOUTH BRUNSWICK,,Stone ,$5.62/TON,,
,,"631 swedesboro rd gibbstown, nj",,sand ,$7.64/TON,,
,,110 HERRONTOWN RD PRINCETON,,Stone ,$4.55/TON,,
,,110 HERRONTOWN RD PRINCETON,,CC ET,$6.69/TON,,
,,57-71 RT 22 GREENBROOK,,sand ew ,$11.91 / ton,,
,,1500 VALLEYBROOK AVE LYNDHURST,30K,Stone ,$14.09/ton,,
,,"965 Plymouth Road
Plymouth Meeting, PA, Pennsylvania 19462
United States
",600,sand ,FR $13.95/TON,,
03/05/2025,,"600 IRICK RD, BURLINGTON, NJ out of FR/EW please.  15,000 tons mason sand",15000,sand fr/ew,FR $9.80/TON             EW $12.06/TON,,
,,1004 ST GEORGES AVE AVENEL,,STONE,$8.93/ON,,
,,999 LOWER FERRY RD EWING ,,Stone ,$7.10 / TON,,
,,"500 WEST HANOVER AVE PARSIPPANY TROY HILLS *THIS IS COMING UP MORRISTOWN 07960, PLEASE CONFIRM",please price morristown,Stone ,$9.22/ton,,
,,"105 WILLOWGROVE RD SHAMONG, NJ",200 TONS,Stone ,$12.73 / TON,,
03/06/2025,,"15 HULSE LANDING RD, BRICK NJ",2 LOADS,Stone ,$11.64 / TON,,
,,RT 29 & CASS RD TRENTON,,STONE,$8.36 / TON,,
,,602 TELEGRAPH AVE SHREWSBURY,,SAND EW,$11.88 / TON,,
,,300 CAMPUS MEADOWS DR PRINCETON,,STONE,$5.51 / TON ,,
,,3115 OLD STATE RD TELFORD PA,,STONE,$14.67/TON,,
03/06/2025,Vista,"900 Richards Run and 319 Dultys Lane, Burlington, NJ.",18000,crushed  MV/PH (THINK MV$7.88/TON),MV CC $7.88/TON      PH CC $11.15/TON ,,
,,51 LAWRENCEVILLE PENNINGTON RD LAWRENCE TWP,,STONE,$6.06/TON,,
,,JOHNSON TROLLEY LINE N & DENOW RD LAWRENCE TWP,,STONE,$6.38/TON,,
,,"7 collins dr penns grove, nj",1000,sand ,$8.90/TON,,
,,"1799 GLASSBORO CROSS KEYS RD WILLIAMSTOWN, NJ",125 TONS,SAND ,$3.91/TON,,
,,"16 4th Ave seaside park, nj",100,stone,$12.32 / TON,,
,,"316 sunset dr pelican island, nj",100,stone,$11.90/TON,,
,,"316 sunset dr pelican island, nj",1 load,sand,$7.80/TON,,
,,"16 4th Ave seaside park, nj",1 load ,sand,$8.12/TON,,
,,141 N Main St Mullica Hill NJ.,1 load,stone,$15.22/TON,,
,,41 NORTON RD SOUTH BRUNSWICK,,SAND EW,$10.86/TON,,
03/07/2025,,"6 MYERS LN, STOCKTON NJ",3 LOADS,SEPTIC STONE,$7.70/TON,,
,,"220 NEWPORT AVE LAKEWOOD, NJ",,STONE,$10.83/TON,,
03/11/2025,,"1045 Parsonage RD, Upper Deerfield NJ 08302.

",1000,sand,FR $7.45,,
,,"3401 Fairmount Ave, Atlantic City, NJ 08401",2000,stone,$16.17/TON,,
,,820 KEYSTONE BLVD POTTSVILLE PA,2300,STONE,BM $28.17/TON,,
,,20 HANOVER RD EAST HANOVER, ,STONE,$9.28/TON,,
,,20 HANOVER RD EAST HANOVER,,CC ET,$13.34/TON,,
,,58 Sloop Creek Rd Bayville NJ. ,1000,stone,$10.67/TON,,
,,58 Sloop Creek Rd Bayville NJ. ,1000,crushed,BR CC $6.10/TON,,
,,"942 aura rd monroeville, nj",5 loads ,crushed ,WB CC 4.93/TON,,
,,"942 aura rd monroeville, nj",,crushed ,BL CC $5.94/TON,,
03/11/2025,CUSTOM CRAFT CONCRETE,"1490 BLACKWOOD CLEMONTON RD, BLACKWOOD, NJ",2700 TONS,STONE (DGA/#57),$13.45/TON,,
,,575 MILLTOWN RD NORTH BRUNSWICK,,STONE,$7.13/TON,,
,,304 WASHINGTON RD PRINCETON,,STONE,$5.43/ton,,
